Date,NAV,Fund,Fund_Type
31-10-2025 00:00,175.6564,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
30-10-2025 00:00,176.464,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
29-10-2025 00:00,177.2552,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
28-10-2025 00:00,176.1939,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
27-10-2025 00:00,176.5302,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
24-10-2025 00:00,175.3092,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
23-10-2025 00:00,176.0531,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
20-10-2025 00:00,175.5119,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
17-10-2025 00:00,174.4499,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
16-10-2025 00:00,173.9398,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
15-10-2025 00:00,172.5084,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
14-10-2025 00:00,171.5809,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
13-10-2025 00:00,172.1791,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
10-10-2025 00:00,172.5449,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
09-10-2025 00:00,171.6747,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
08-10-2025 00:00,170.7133,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
07-10-2025 00:00,171.187,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
06-10-2025 00:00,171.0649,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
03-10-2025 00:00,169.8015,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
01-10-2025 00:00,169.0957,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
30-09-2025 00:00,167.8878,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
29-09-2025 00:00,167.561,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
26-09-2025 00:00,167.2394,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
25-09-2025 00:00,169.3313,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
24-09-2025 00:00,170.2175,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
23-09-2025 00:00,171.3376,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
22-09-2025 00:00,171.6022,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
19-09-2025 00:00,172.3347,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
18-09-2025 00:00,172.7185,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
17-09-2025 00:00,172.1405,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
16-09-2025 00:00,171.5021,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
15-09-2025 00:00,170.4292,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
12-09-2025 00:00,170.5249,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
11-09-2025 00:00,170.0771,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
10-09-2025 00:00,169.8333,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
09-09-2025 00:00,168.8444,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
08-09-2025 00:00,168.2751,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
05-09-2025 00:00,168.1076,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
04-09-2025 00:00,168.1687,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
03-09-2025 00:00,168.2965,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
02-09-2025 00:00,167.4061,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
01-09-2025 00:00,167.4506,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
29-08-2025 00:00,165.9943,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
28-08-2025 00:00,166.3339,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
26-08-2025 00:00,167.9537,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
25-08-2025 00:00,169.6149,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
22-08-2025 00:00,169.1041,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
21-08-2025 00:00,170.1564,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
20-08-2025 00:00,170.0504,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
19-08-2025 00:00,169.4638,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
18-08-2025 00:00,168.505,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
14-08-2025 00:00,167.119,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
13-08-2025 00:00,167.4326,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
12-08-2025 00:00,166.4465,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
11-08-2025 00:00,166.5267,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
08-08-2025 00:00,165.305,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
07-08-2025 00:00,166.862,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
06-08-2025 00:00,166.4717,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
05-08-2025 00:00,167.5133,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
04-08-2025 00:00,167.9473,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
01-08-2025 00:00,167.027,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
31-07-2025 00:00,168.6197,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
30-07-2025 00:00,169.3092,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
29-07-2025 00:00,169.1733,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
28-07-2025 00:00,168.3884,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
25-07-2025 00:00,169.5349,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
24-07-2025 00:00,170.9397,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
23-07-2025 00:00,171.8853,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
22-07-2025 00:00,171.1684,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
21-07-2025 00:00,171.727,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
18-07-2025 00:00,171.3722,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
17-07-2025 00:00,172.2651,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
16-07-2025 00:00,172.6573,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
15-07-2025 00:00,172.4675,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
14-07-2025 00:00,171.6942,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
11-07-2025 00:00,171.5689,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
10-07-2025 00:00,172.5664,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
09-07-2025 00:00,173.2432,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
08-07-2025 00:00,173.5373,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
07-07-2025 00:00,173.2554,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
04-07-2025 00:00,173.1331,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
03-07-2025 00:00,172.4855,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
02-07-2025 00:00,172.5424,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
01-07-2025 00:00,172.8375,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
30-06-2025 00:00,172.839,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
27-06-2025 00:00,173.2544,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
26-06-2025 00:00,172.3022,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
25-06-2025 00:00,170.8886,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
24-06-2025 00:00,169.9079,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
23-06-2025 00:00,169.2628,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
20-06-2025 00:00,169.7979,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
19-06-2025 00:00,168.1019,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
18-06-2025 00:00,168.8306,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
17-06-2025 00:00,169.0925,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
16-06-2025 00:00,170.0435,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
13-06-2025 00:00,168.5501,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
12-06-2025 00:00,169.4793,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
11-06-2025 00:00,171.1478,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
10-06-2025 00:00,170.9378,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
09-06-2025 00:00,170.6348,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
06-06-2025 00:00,169.3883,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
05-06-2025 00:00,167.8308,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
04-06-2025 00:00,167.3466,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
03-06-2025 00:00,166.8181,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
02-06-2025 00:00,167.9269,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
30-05-2025 00:00,167.5922,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
29-05-2025 00:00,168.2197,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
28-05-2025 00:00,167.7555,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
